threads,mean_estimate,ci_estimate,mean_duration,ci_duration,target
1,3.1414643243237514,0.0022094685308350847,0.8900497999999999,0.12404645403981651,π
2,3.1412644533603764,0.0022360572989571204,0.8329926000000001,0.08292100058741987,π
3,3.142116734804346,0.003195204812884996,0.7851494,0.1359269994451216,π
4,3.1424049512494934,0.002720405360925752,0.7313586,0.07862130536225716,π
5,3.140617836406713,0.003607433510855463,0.7784578,0.12111002546159552,π
6,3.141155837275086,0.0015495102099968019,0.6995701999999999,0.12630174244779174,π
7,3.14065845829676,0.0012483422195004722,0.6513828,0.001954411127762059,π
8,3.1406486373440936,0.0010193376388793638,0.6534608000000001,0.005464465482764117,π
9,3.141343175870859,0.0028926239197920654,0.6522368000000001,0.004029636878469272,π
10,3.1416131464827997,0.0016962577662146476,0.6584632,0.014393970670955228,π
11,3.1416028370080555,0.0025893078981826592,0.6569544,0.010540738101313351,π
12,3.1423452089533592,0.001876701975512996,0.6619637999999999,0.015336118500674123,π
13,3.142643396172616,0.004174819546865552,0.6528052000000001,0.010879978484221436,π
14,3.141410377566734,0.0024919972927645393,0.650535,0.0030690586633689994,π
15,3.140834912737648,0.0029614619876726644,0.6529958,0.014647073665996237,π
16,3.141042286858824,0.002676418577000415,0.6578189999999999,0.016362860353935728,π
17,3.1414233055434453,0.0015091779678096733,0.6618158000000001,0.0051681787168324665,π
18,3.141431469866764,0.0012839481516656835,0.651135,0.0035594943697104214,π
19,3.1413408858075273,0.001732077824605855,0.649111,0.0012072351071767276,π
20,3.1413587686827227,0.0027268224589420023,0.6542899999999999,0.013903168299549558,π
21,3.140747980783021,0.0025835544582382417,0.6494772,0.002566596388589378,π
22,3.1416710947354933,0.0021714142769242617,0.6506592,0.001668128929165856,π
23,3.142614319994202,0.002977039302460601,0.6525428,0.008015242773685686,π
24,3.142132593416137,0.0019582577281239784,0.6500094000000001,0.001304219552866814,π
25,3.1418034530167254,0.0016257105719495795,0.649964,0.0017114997881390208,π
26,3.1412155771733365,0.0013137612466737254,0.6736249999999999,0.0760397013214334,π
27,3.141902608360939,0.002403667330361542,0.7674382000000001,0.04636220306343,π
28,3.141111275381097,0.00035418541146676894,0.75863,0.14125731906988181,π
29,3.1413068920130143,0.004020852628569069,0.7689467999999999,0.10393265863368797,π
30,3.1412367604339884,0.002656732587934446,0.6790437999999999,0.05629109226472971,π
31,3.1413434597420755,0.001833689073174076,0.6738996,0.02815137736693675,π
32,3.1413138273772745,0.0019249994521558036,0.7079462,0.04842524916377737,π
