threads,size,mean_duration,ci_duration
1,16,0.0005551,2.5562788580278148e-5
1,32,0.0018793999999999998,0.0006740584096550287
1,64,0.0060527,0.00046217508372669517
1,128,0.0228469,0.0004520173909928685
1,256,0.0901165,0.001295331247244848
1,512,0.35858300000000004,0.0010323146317970323
1,1024,1.4325107999999998,0.0015707877451690065
1,2048,5.7277374000000005,0.0038398006008040822
1,4096,22.9130478,0.004949199601166739
1,8192,91.6348134,0.02576227940343442
2,16,0.0005884000000000001,4.365322826295644e-5
2,32,0.0016499999999999998,6.442542493284598e-5
2,64,0.0058797,5.8304646813097084e-5
2,128,0.0227553,0.00026563451920929996
2,256,0.09211369999999999,0.006388717073899018
2,512,0.3780819,0.027958800153568494
2,1024,1.4346597,0.0038231908969714005
2,2048,5.731594800000001,0.0054424310406548364
2,4096,22.925119099999996,0.009767273001418412
2,8192,91.69215840000001,0.019586347965814103
4,16,0.0003909,7.987490986953706e-5
4,32,0.0009292,6.091645805709836e-5
4,64,0.0032396,5.1751258750123344e-5
4,128,0.0125186,9.276965250914092e-5
4,256,0.04946969999999999,0.0001262440515474353
4,512,0.19719199999999998,0.0004264860717798613
4,1024,0.7889292,0.005787725444299808
4,2048,3.1546928999999997,0.012179783254505715
4,4096,12.5979022,0.01538552606386815
4,8192,50.492630500000004,0.21387262827934922
8,16,0.000442,8.279050723898778e-5
8,32,0.0007089,2.8514837930842678e-5
8,64,0.0021658000000000003,8.160026100176135e-5
8,128,0.0081642,0.0006294986516762549
8,256,0.0316756,0.00034789518431721793
8,512,0.1264808,0.0019716649201727983
8,1024,0.5025820999999999,0.007361165055891007
8,2048,1.9945666,0.009932024699073545
8,4096,8.0195656,0.37844146286013536
8,8192,31.830773299999997,0.1520064702722211
16,16,0.0005321,4.8031776333774916e-5
16,32,0.0008867,6.500617420248976e-5
16,64,0.0025651999999999997,0.00034112609896569856
16,128,0.008785499999999998,0.0009392948816828268
16,256,0.034763300000000004,0.002498567575484444
16,512,0.13591590000000003,0.006026085897870655
16,1024,0.5522598,0.010217203452318137
16,2048,2.1918457,0.04877489534506607
16,4096,8.816608399999998,0.08152320716530385
16,8192,35.3336465,0.19663402005619818
32,16,0.0008307,4.40217725929139e-5
32,32,0.0010605,6.192035386060244e-5
32,64,0.0026158,0.00022836743087499247
32,128,0.008241,0.0004145923817706036
32,256,0.030868500000000004,0.001375750063896459
32,512,0.12024439999999999,0.002766538931554092
32,1024,0.4733462000000001,0.0026017413044719787
32,2048,1.8971591,0.023708290753626113
32,4096,7.551626999999999,0.012112422794558353
32,8192,30.195838400000003,0.033243498017826625
