threads,mean_estimate,ci_estimate,mean_duration,ci_duration,target
1,3.1412483416268744,0.0024800475202273477,0.9071351999999999,0.12199971163169991,π
2,3.1420170476322857,0.0021886742513040095,0.7938031999999999,0.03714726756346317,π
3,3.1422744497682693,0.0018698553522192847,0.8151564,0.04474618867843475,π
4,3.140938997260504,0.00299332159301401,0.8403956000000001,0.07637685740526695,π
5,3.1413054974828185,0.00170784341688076,0.8042784000000001,0.05806340831924762,π
6,3.142224586264993,0.003005508162163163,0.7729334,0.02989888039188891,π
7,3.140762223270364,0.001256516604775665,0.773093,0.011536102124790646,π
8,3.141512508236672,0.0025567358620657283,0.8953772000000001,0.13504545269212856,π
